Global Size,Local Size,Memory Bandwidth
1024,32,0.167594
2048,32,0.310115
4096,32,0.61299
8192,32,1.23077
16384,32,2.17294
32768,32,4.14575
65536,32,7.10033
131072,32,49.9132
262144,32,73.0613
524288,32,91.244
1048576,32,111.408
2097152,32,115.724
4194304,32,125.736
8388608,32,127.778
16777216,32,130.782
1024,64,0.287479
2048,64,0.539515
4096,64,1.08647
8192,64,5.00122
16384,64,10.0024
32768,64,17.2645
65536,64,29.6543
131072,64,44.6127
262144,64,65.4705
524288,64,77.5574
1048576,64,99.0905
2097152,64,104.617
4194304,64,117.924
8388608,64,116.94
16777216,64,121.133
1024,128,0.24927
2048,128,0.495404
4096,128,0.837971
8192,128,1.64103
16384,128,10.1638
32768,128,5.6516
65536,128,9.58409
131072,128,16.8041
262144,128,24.2951
524288,128,29.7418
1048576,128,36.3988
2097152,128,42.587
4194304,128,50.1459
8388608,128,55.2086
16777216,128,55.9021
1024,256,0.173501
2048,256,0.34397
4096,256,0.65641
8192,256,1.27562
16384,256,2.31674
32768,256,4.1732
65536,256,7.45744
131072,256,12.4475
262144,256,18.952
524288,256,25.4287
1048576,256,31.312
2097152,256,36.4811
4194304,256,42.8357
8388608,256,47.1556
16777216,256,70.9642
1024,512,0.174268
2048,512,0.339523
4096,512,0.650985
8192,512,1.26537
16384,512,2.31674
32768,512,3.93846
65536,512,7.24315
131072,512,53.0656
262144,512,73.5946
524288,512,91.6587
1048576,512,112.027
2097152,512,119.851
4194304,512,129.678
8388608,512,132.555
16777216,512,137.586
1024,1024,0.358042
2048,1024,0.722653
4096,1024,1.43217
8192,1024,2.81319
16384,1024,5.1652
32768,1024,8.0789
65536,1024,15.7538
131072,1024,24.5914
262144,1024,37.0679
524288,1024,49.1827
1048576,1024,60.5553
2097152,1024,65.4705
4194304,1024,75.4181
8388608,1024,76.9103
16777216,1024,73.5694
